"year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
2004,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",195.676307990453
2005,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.402052302992
2008,33," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
2005,34," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",111.720849360989
2006,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.8800467811106
2003,56," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
2006,70," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
2004,25," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",103.90247060316
2006,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",105.927810775063
2003,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",66.2294082943902
2004,28," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",34.6074177301288
2007,27," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
2004,43," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",45.282169994022
2005,50," Male"," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",73.7757432746946
2004,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",81.2832532842527
2008,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",154.68529299563
2009,35," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",267.901086855275
2007,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2006,25," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",66.2294082943902
2006,33," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",116.265324062503
2005,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",200.543262324662
2008,71," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
2004,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",272.294783220064
2003,23," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",35.0334213214995
2009,30," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2004,22," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2006,59," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",200.543262324662
2003,28," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
2004,61," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2003,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
2005,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",152.838800991182
2006,54," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",117.146816914805
2005,69," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",77.7376033039781
2004,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
2003,48," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",125.525498433836
2003,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.336103962059
2009,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",158.294621427791
2003,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
2004,55," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2008,21," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",70.4760196469445
2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2006,31," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
2006,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2006,32," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.764272842107
2009,40," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
2003,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
2003,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",268.266292012557
2006,23," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
2003,63," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",113.567089569751
2008,44," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
2005,47," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",128.680488220624
2004,61," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.723977625299
2009,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",66.0446942318056
2003,24," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",51.521956314716
2007,42," Male"," Widowed"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
2006,25," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",76.8936025176112
2004,34," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",90.4819133566401
2009,53," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",68.0764282889521
2009,53," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2009,70," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",127.901232979118
2004,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",131.224593755096
2003,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2003,33," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
2005,34," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",107.903923866876
2006,22," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.2832532842527
2009,74," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2003,40," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",98.5993438603892
2006,45," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
2009,43," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",156.503510882633
2005,33," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",144.944364980516
2009,62," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2008,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",121.430313822622
2004,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",111.720849360989
2005,34," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",68.7480877337669
2008,50," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
2006,46," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",95.2307125669819
2007,41," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.9810327856054
2003,63," Male"," Divorced"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",64.2743972206327
2007,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.680488220624
2006,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
2009,29," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",112.6488963421
2008,66," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2004,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.8954848228103
2006,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",112.136922992214
2003,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",85.3839403789827
2007,51," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
2009,55," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",114.475713290347
2006,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",176.989650489877
2008,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",276.778413321176
2005,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.82435207568
2006,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",91.6992261117042
2009,43," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",86.6951548289402
2006,38," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",162.946460744664
2008,59," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",139.213788138664
2009,57," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",95.2307125669819
2005,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",66.9616443217359
2004,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",131.194323611687
2004,41," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
2009,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
2003,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",79.1280844956297
2007,49," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",104.591737924918
2008,52," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",132.487821126123
2007,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.77517233318
2008,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2005,46," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
2004,21," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",55.7673905084923
2009,61," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.921814091211
2007,32," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
2003,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",88.9296066367913
2004,26," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2006,32," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",106.921814091211
2007,22," Male"," Never Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",59.0970640815891
2005,51," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",65.1108537153447
2004,44," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",120.589436530402
2005,35," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",157.700527725737
2004,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.453644576625
2007,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2004,35," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",59.0970640815891
2007,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
2008,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",134.705375118879
2003,43," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2003,33," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
2003,60," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",153.457515308961
2008,38," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",136.876367635184
2005,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",75.0431540173515
2004,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.220832358777
2003,57," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",104.921506533664
2005,64," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",49.5553381215226
2007,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",123.908567597957
2008,35," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
2008,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",78.155161407934
2007,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",73.7757432746946
2003,58," Male"," Divorced"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",138.299126920883
2007,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",127.115743812184
2003,46," Male"," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",68.7480877337669
2004,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",84.39111474778
2009,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
2006,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
2005,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.4760196469445
2008,34," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.8936025176112
2007,53," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",148.413159102577
2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
2009,50," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",175.960883130401
2006,37," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",98.5993438603892
2003,39," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.143601176911
2004,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2003,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.08887439127
2006,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
2006,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",129.453644576625
2005,27," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",111.720849360989
2006,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",103.90247060316
2009,44," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",118.884359339886
2003,37," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",151.591484239814
2006,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",101.82435207568
2004,26," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
2008,39," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
2006,25," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
2005,31," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
2004,58," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",152.216806827106
2005,30," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
2004,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",65.1108537153447
2003,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
2006,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",173.879493310012
2009,35," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",193.411070530969
2008,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",114.475713290347
2006,29," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",160.642475408263
2005,25," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",89.4924795180001
2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",120.589436530402
2006,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",73.7757432746946
2006,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
2006,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2003,22," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",34.6074177301288
2007,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",114.475713290347
2007,33," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",85.3839403789827
2007,63," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",318.342430056529
2006,49," Male"," Never Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
2005,39," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2007,25," Male"," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
2005,29," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
2006,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.0431540173515
2008,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",154.990260276812
2009,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",104.921506533664
2008,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.118306923864
2003,39," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
2008,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",157.700527725737
2008,29," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2009,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",107.256062128429
2009,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",78.9816745162994
2008,27," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",94.0727147457005
2006,56," Male"," Separated"," Asian"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",99.6894636984864
2004,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2005,23," Male"," Never Married"," Other"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",73.7757432746946
2003,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
2009,26," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
2006,43," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",95.2307125669819
2007,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
2003,54," Male"," Separated"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",99.6894636984864
2003,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.6888119067371
2006,40," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
2006,53," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
2007,48," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
2004,23," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",61.1875264339915
2009,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
2004,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",256.400649562425
2006,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",81.2832532842527
2007,59," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
2007,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",55.7673905084923
2009,49," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.3556793180091
2006,45," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",130.982177377461
2006,31," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",43.7351116779821
