"cdatetime","address","district","beat","grid","crimedescr","ucr_ncic_code","latitude","longitude"
"57","1/1/06 0:36","6665 STOCKTON BLVD",6,"6C        ",1441,"459 PC  BURGLARY BUSINESS",2203,38.50632179,-121.4333041
"58","1/1/06 0:39","7811 DEER MEADOW DR",5,"5B        ",1616,"246 PC SHOOT OCCUP DWELL/VEH",5213,38.47400047,-121.4581933
"59","1/1/06 0:40","3RD ST / O ST",3,"3A        ",762,"23152(A) VC DUI-ALCOHOL/DRUGS",5404,38.57724403,-121.5051437
"60","1/1/06 0:46","27TH ST / J ST",3,"3B        ",738,"TRAFFIC-ACCIDENT INJURY",5400,38.57419952,-121.470553
"61","1/1/06 0:55","8TH ST / L ST",3,"3M        ",742,"DUI I RPT",7000,38.57881567,-121.4970836
"62","1/1/06 1:00","7850 COLLEGE TOWN DR",3,"3C        ",888,"484 PETTY THEFT/LICENSE PLATE",2399,38.55456463,-121.4106138
"63","1/1/06 1:00","63RD ST / JANSEN DR",6,"6B        ",1402,"23152(A) VC DUI-ALCOHOL/DRUGS",5404,38.52199211,-121.4309007
"64","1/1/06 1:00","11 ALCANON CT",1,"1B        ",353,"459 PC  BURGLARY VEHICLE",2299,38.62453557,-121.5264198
"65","1/1/06 1:00","TRUXEL RD / SAGINAW CIR",1,"1B        ",414,"10851(A)VC TAKE VEH W/O OWNER",2404,38.62504428,-121.4978986
"66","1/1/06 1:00","2600 N ST",3,"3B        ",768,"459 PC  BURGLARY VEHICLE",2299,38.56984785,-121.4737052
"67","1/1/06 1:06","4740 BECKET WAY",5,"5B        ",1631,"459 PC  BURGLARY RESIDENCE",2204,38.46518116,-121.4461653
"68","1/1/06 1:30","CALVINE RD / CENTER PKWY",5,"5C        ",1645,"243(D) PC BATT/CIVILIAN W/INJ",1315,38.4497213,-121.4258719
"69","1/1/06 1:30","6625 VALLEY HI DR",5,"5C        ",1623,"10851(A)VC TAKE VEH W/O OWNER",2404,38.47143667,-121.427615
"70","1/1/06 1:51","RAINBOW AVE / HOWE AVE",2,"2C        ",558,"246.3 PC NEGL DISCH FIREARM",5213,38.61972226,-121.4152799
"71","1/1/06 2:00","2500 FLORIN RD",5,"5A        ",1363,"487(A) PC GRAND THEFT",2303,38.49570962,-121.477826
"72","1/1/06 2:09","3012 ALBATROSS WAY",2,"2C        ",567,"CASUALTY REPORT",7000,38.62070956,-121.4226958
"73","1/1/06 2:10","1426 BREWERTON DR",1,"1B        ",435,"246 PC SHOOT OCCUP DWELL/VEH",5213,38.61488957,-121.4934272
"74","1/1/06 2:14","FRONT ST / K ST",3,"3M        ",741,"LOST PROPERTY - I RPT",7000,38.58239328,-121.5059336
"75","1/1/06 2:30","3807 24TH AVE",6,"6A        ",1071,"CASUALTY REPORT",7000,38.53116122,-121.4661214
"76","1/1/06 2:40","EMPRESS ST / ARDEN WAY",2,"2C        ",603,"11351.5 HS POSS SALE RCK COCAI",3532,38.60641085,-121.4473501
"77","1/1/06 2:40","1415 L ST",3,"3M        ",745,"211 PC  ROBBERY UNSPECIFIED",1299,38.57682477,-121.4882896
"78","1/1/06 2:47","2737 SCREECH OWL WAY",1,"1A        ",344,"594(B)(2)(A) VANDALISM/ -$400",2999,38.63207451,-121.5287747
"79","1/1/06 2:54","1900 CANTERBURY RD",2,"2C        ",613,"243(E)1 BATTERY NONCOHAB SPOUS",1315,38.60108154,-121.456171
"80","1/1/06 3:00","7769 AMHERST ST",5,"5A        ",1501,"10851(A)VC TAKE VEH W/O OWNER",2404,38.47489873,-121.4996944
"81","1/1/06 3:00","100 ROCKMONT CIR",1,"1A        ",103,"594(B)(2)(A) VANDALISM/ -$400",2999,38.67510292,-121.5226753
"82","1/1/06 3:28","8032 TORRENTE WAY",5,"5B        ",1618,"459 PC  BURGLARY RESIDENCE",2204,38.46594742,-121.4513773
"83","1/1/06 3:30","POWER INN RD / ELDER CREEK RD",6,"6C        ",1406,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.51055016,-121.409083
"84","1/1/06 3:52","1125 ALHAMBRA BLVD",3,"3C        ",841,"475(C) PASS FORGED NOTE",2506,38.570664,-121.465448
"85","1/1/06 4:00","4128 NORWOOD AVE",2,"2A        ",233,"245(A)(2) AWDW/FIREARM/CIVILIA",1315,38.6432324,-121.4563115
"86","1/1/06 4:00","HONOR PKWY / REGENCY PARK CIR",1,"1A        ",106,"11377(A)HS POSS AMPHETAMINES",3572,38.67318557,-121.5035491
"87","1/1/06 4:00","3 CLOE CT",1,"1A        ",115,"487(A) GRAND THEFT-INSIDE",2308,38.66695301,-121.5088707
"88","1/1/06 4:00","8454 COEBURN ST",5,"5C        ",1644,"459 PC  BURGLARY VEHICLE",2299,38.45025842,-121.443044
"89","1/1/06 4:00","5620 34TH AVE",6,"6B        ",1401,"459 PC  BURGLARY VEHICLE",2299,38.52337984,-121.4378491
"90","1/1/06 4:15","BROADWAY / 16TH ST",4,"4A        ",906,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.56159185,-121.4923822
"91","1/1/06 4:15","1414 43RD ST",3,"3C        ",844,"484 PC   PETTY THEFT/INSIDE",2308,38.56438552,-121.4516767
"92","1/1/06 4:20","FLORIN RD / MUNSON WAY",5,"5B        ",1359,"TOWED/STORED VEH-14602.6",7000,38.49603233,-121.4619674
"93","1/1/06 4:30","1 CLAUSS CT",6,"6B        ",1084,"10851(A)VC TAKE VEH W/O OWNER",2404,38.52967087,-121.4469794
"94","1/1/06 5:14","MACK RD / CENTER PKWY",5,"5B        ",1606,"20002(A) HIT/RUN",5401,38.47425283,-121.4368769
"95","1/1/06 5:22","1426 I ST",3,"3M        ",735,"5150 WI DANGER SELF/OTHERS",7000,38.57941421,-121.4864344
"96","1/1/06 6:00","MACK RD / CENTER PKWY",5,"5B        ",1606,"TOWED/STORED VEHICLE",7000,38.47425283,-121.4368769
"97","1/1/06 6:00","1236 EL ENCANTO WAY",4,"4C        ",1278,"487(A) PC GRAND THEFT",2303,38.49714012,-121.5136898
"98","1/1/06 6:10","2801 L ST",3,"3B        ",748,"IMPOUNDED VEHICLE",7000,38.57201606,-121.4692575
"99","1/1/06 6:27","2884 DEL PASO BLVD",2,"2B        ",564,"10851(A)VC TAKE VEH W/O OWNER",2404,38.61859754,-121.4382569
"100","1/1/06 6:46","J ST / 29TH ST",3,"3B        ",738,"20002(A) HIT/RUN",5401,38.57348427,-121.4678719
"101","1/1/06 7:00","2518 HAWTHORNE ST",2,"2B        ",551,"459 PC  BURGLARY RESIDENCE",2204,38.61197962,-121.4578062
"102","1/1/06 7:20","AZEVEDO DR / YARWOOD WAY",1,"1B        ",411,"PERSON INFORMATION - I RPT",7000,38.62099831,-121.5104473
"103","1/1/06 7:30","6021 WILKINSON ST",6,"6C        ",1404,"653M(B) PC ANNOY/RPT CALL HOME",5307,38.51755951,-121.4142712
"104","1/1/06 7:45","1200 ROANOKE AVE",2,"2A        ",514,"459 PC  BURGLARY VEHICLE",2299,38.63465784,-121.4392401
"105","1/1/06 7:46","RIO LINDA BLVD / MAIN AVE",2,"2A        ",224,"20002(A) HIT/RUN",5401,38.65509277,-121.4477394
"106","1/1/06 7:55","398 FLORIN RD",4,"4C        ",1259,"211 PC ROBBERY- BUSINESS",1299,38.5076709,-121.5412748
"107","1/1/06 7:55","525 EXCHANGE ST",2,"2A        ",213,"CASUALTY REPORT",7000,38.65966202,-121.4535351
"108","1/1/06 8:00","535 LAMPASAS AVE",2,"2B        ",552,"594(B)(2)(A) VANDALISM/ -$400",2999,38.61499077,-121.4534714
"109","1/1/06 8:00","12 GRAND CANYON CT",1,"1A        ",136,"LOST PROPERTY - I RPT",7000,38.65699142,-121.5038615
"110","1/1/06 8:00","3709 PRESIDIO ST",2,"2A        ",516,"LOST PROPERTY - I RPT",7000,38.63500106,-121.4213652
"111","1/1/06 8:00","FLORIN RD / FRANKLIN BLVD",5,"5B        ",1359,"LOST PROPERTY - I RPT",7000,38.49601155,-121.4592772
"112","1/1/06 8:00","3615 33RD ST",6,"6A        ",1041,"484J PC PUBLISH CARD INFO",2605,38.54182394,-121.4709505
"113","1/1/06 8:00","2324 NORTH AVE",2,"2A        ",237,"LOST PROPERTY - I RPT",7000,38.63963285,-121.4130509
"114","1/1/06 8:00","2800 CHATEAU MONTELENA WAY",1,"1A        ",333,"530 PC FALSE PERS. REC PROP",2604,38.63351404,-121.5282646
"115","1/1/06 8:00","1820 FRIENZA AVE",2,"2C        ",568,"459 PC  BURGLARY BUSINESS",2203,38.61199425,-121.4244182
"116","1/1/06 8:00","2230 J ST",3,"3B        ",747,"1708 US   THEFT OF MAIL",2310,38.57546355,-121.4761823
"117","1/1/06 8:00","6581 HARMON DR",4,"4C        ",1252,"LOST PROPERTY - I RPT",7000,38.50771305,-121.5534498
"118","1/1/06 8:00","6054 RIVERSIDE BLVD",4,"4C        ",1251,"530.5 PC USE PERSONAL ID INFO",2604,38.51617367,-121.5286379
"119","1/1/06 8:00","1545 RIVER PARK DR",2,"2C        ",626,"484 PETTY THEFT CLOUT UNLOCKED",2305,38.60088271,-121.4352821
"120","1/1/06 8:00","1287 TRAIL END WAY",1,"1B        ",403,"484G(B) PC ACCESS CARD FRAUD",2605,38.63244741,-121.4903723
"121","1/1/06 8:00","2215 BORONA WAY",1,"1B        ",410,"530 PC FALSE PERS. REC PROP",2604,38.62275946,-121.513946
"122","1/1/06 8:00","6 SHELTER POINT CT",4,"4C        ",1262,"TELEPEST -I RPT",7000,38.51110856,-121.5343434
"123","1/1/06 8:00","970 FRIENZA AVE",2,"2B        ",564,"SUSP PERS-NO CRIME - I RPT",7000,38.61286644,-121.4444547
"124","1/1/06 8:00","1631 W EL CAMINO AVE",1,"1B        ",434,"530 PC FALSE PERS. REC PROP",2604,38.61301252,-121.4993798
"125","1/1/06 8:05","SWEET PEA WAY / SHADY ARBOR CT",1,"1B        ",473,"10851 VC AUTO THEFT LOCATE",2404,38.60758365,-121.5411045
"126","1/1/06 8:57","RIO LINDA BLVD / MAIN AVE",2,"2A        ",224,"TOWED/STORED VEHICLE",7000,38.65509277,-121.4477394
"127","1/1/06 9:00","5878 KAHARA CT",4,"4C        ",1225,"653M(B) PC ANNOY/RPT CALL HOME",5307,38.5206653,-121.515833
"128","1/1/06 9:15","18 GODELLO CT",1,"1B        ",353,"242 PC  BATTERY CIVILIAN",1313,38.62749128,-121.528707
"129","1/1/06 9:15","7850 COLLEGE TOWN DR",3,"3C        ",888,"11377(A)HS POSS AMPHETAMINES",3572,38.55456463,-121.4106138
"130","1/1/06 9:30","4947 KOKOMO DR",1,"1A        ",123,"TOWED/STORED VEHICLE",7000,38.66227019,-121.5291389
"131","1/1/06 9:45","HOWE AVE / AMERICAN RIVER DR",3,"3C        ",877,"TOWED/STORED VEHICLE",7000,38.5695415,-121.409084
"132","1/1/06 9:53","4650 NATOMAS BLVD",1,"1A        ",145,"506 PC EMBEZZLEMENT/CONTRACTOR",2799,38.65731154,-121.5119979
"133","1/1/06 10:00","3724 SAN CARLOS WAY",6,"6A        ",1042,"MISSING PERSON I RPT",7000,38.54072015,-121.4620361
"134","1/1/06 10:00","4410 CRESTWOOD WAY",4,"4A        ",1205,"BURGLARY - I RPT",7000,38.53437911,-121.5068742
"135","1/1/06 10:00","1500 TESSA AVE",2,"2B        ",546,"TOWED/STORED VEHICLE",7000,38.62194039,-121.431713
"136","1/1/06 10:00","7500 HOSPITAL DR",5,"5C        ",1639,"THREATS - I RPT",7000,38.46337225,-121.4161718
"137","1/1/06 10:00","8545 FOLSOM BLVD",3,"3C        ",1116,"MISSING PERSON",7000,38.54929974,-121.3882189
"138","1/1/06 10:30","8105 PHINNEY DR",5,"5B        ",1618,"459 PC  BURGLARY RESIDENCE",2204,38.46449565,-121.456788
"139","1/1/06 10:30","401 J ST",3,"3M        ",732,"594(B)(2)(A) VANDALISM/ -$400",2999,38.58259727,-121.500996
"140","1/1/06 11:00","3632 52ND ST",6,"6B        ",1054,"459 PC  BURGLARY RESIDENCE",2204,38.54100057,-121.4458147
"141","1/1/06 11:01","SAN FRANCISCO BLVD / 50TH ST",6,"6B        ",1064,"11364 HS POSS DRUG PARAPH",3599,38.53725889,-121.4477561
"142","1/1/06 11:04","5524 DANJAC CIR",4,"4A        ",1207,"TOWED/STORED VEHICLE",7000,38.52545723,-121.5139339
"143","1/1/06 11:08","2571 ALTOS AVE",2,"2B        ",552,"CASUALTY REPORT",7000,38.61361383,-121.454378
"144","1/1/06 11:10","414 K ST",3,"3M        ",742,"484 PETTY THEFT-SHOPLIFT",2303,38.58062786,-121.5014996
"145","1/1/06 11:30","7486 CARELLA DR",5,"5A        ",1381,"MISSING PERSON",7000,38.48682651,-121.5001978
"146","1/1/06 11:30","7TH ST / J ST",3,"3M        ",732,"11364 HS POSS DRUG PARAPH",3599,38.58137649,-121.4974538
"147","1/1/06 11:30","5701 LERNER WAY",5,"5C        ",1605,"MISSING PERSON",7000,38.48023792,-121.4360926
"148","1/1/06 11:46","1321 E ST",3,"3A        ",715,"HARASSMENT - I RPT",7000,38.58472227,-121.4858505
"149","1/1/06 11:49","1912 BOWLING GREEN DR",2,"2C        ",606,"O/S AGENCY -ASSISTANCE- I RPT",7000,38.60666541,-121.422421
"150","1/1/06 12:00","3555 AUBURN BLVD",2,"2A        ",509,"MISSING PERSON",7000,38.63862878,-121.3815598
"151","1/1/06 12:00","7526 TITIAN PKWY",5,"5B        ",1603,"10851(A)VC TAKE VEH W/O OWNER",2404,38.48420982,-121.448306
"152","1/1/06 12:00","12 WATERGLEN CIR",3,"3C        ",899,"487(D)GRAND THEFT FIREARM/ANIM",2399,38.56047289,-121.3902704
"153","1/1/06 12:00","4733 NASHUA WAY",2,"2A        ",222,"484G(B) PC ACCESS CARD FRAUD",2605,38.65394829,-121.462463
"154","1/1/06 12:00","971 ACACIA AVE",2,"2B        ",544,"LOST PROPERTY - I RPT",7000,38.62221222,-121.4447319
"155","1/1/06 12:00","3146 PALMER ST",2,"2B        ",546,"530.5 PC USE PERSONAL ID INFO",2604,38.62524321,-121.4304825
"156","1/1/06 12:00","8178 CENTER PKWY",5,"5B        ",1633,"653M(A) PC OBSCENE/THREAT CALL",5309,38.46027205,-121.4304773
"157","1/1/06 12:30","1820 FRIENZA AVE",2,"2C        ",568,"459 PC  BURGLARY BUSINESS",2203,38.61199425,-121.4244182
"158","1/1/06 12:45","1689 ARDEN WAY",2,"2C        ",619,"647(A) PC LEWD CONDUCT",7299,38.60154457,-121.42747
"159","1/1/06 12:45","1029 FRIENZA AVE",2,"2B        ",564,"TOWED/STORED VEHICLE",7000,38.61317258,-121.4424469
"160","1/1/06 13:00","5770 FREEPORT BLVD",4,"4C        ",985,"GANG ACTIVITY - I RPT",7000,38.52199137,-121.4990149
"161","1/1/06 13:10","1113 CONGRESS AVE",2,"2B        ",525,"11364 HS POSS DRUG PARAPH",3599,38.63070055,-121.440864
"162","1/1/06 13:49","3421 AUBURN BLVD",2,"2A        ",508,"459 PC  BURGLARY-UNSPECIFIED",2299,38.6374478,-121.3846125
"163","1/1/06 14:00","560 SANDBURG DR",3,"3C        ",879,"530.5 PC USE PERSONAL ID INFO",2604,38.56839814,-121.4313525
"164","1/1/06 14:40","7608 AMHERST ST",5,"5A        ",1501,"HARASSMENT - I RPT",7000,38.48020103,-121.5015786
"165","1/1/06 14:57","3801 DUCKHORN DR",1,"1A        ",333,"422 PC THREAT/INTENT TO TERROR",1602,38.63910642,-121.528
"166","1/1/06 14:59","5TH ST / P ST",3,"3A        ",763,"CASUALTY REPORT",7000,38.57543889,-121.5029735
"167","1/1/06 15:00","7301 MEADOWGATE DR",5,"5B        ",1369,"10851(A)VC TAKE VEH W/O OWNER",2404,38.49203951,-121.4613302
"168","1/1/06 15:00","5518 SAGPOND WAY",1,"1A        ",102,"484J PC PUBLISH CARD INFO",2605,38.6776884,-121.5345401
"169","1/1/06 15:13","33RD ST / 11TH AVE",6,"6A        ",1041,"20001(A) VC HIT/RUN INJ/DEATH",5401,38.54199544,-121.4712254
"170","1/1/06 15:30","35 QUAY CT",4,"4C        ",1265,"10851(A)VC TAKE VEH W/O OWNER",2404,38.5127908,-121.5313723
"171","1/1/06 15:30","1814 19TH ST",3,"3A        ",776,"484 PETTY THEFT-SHOPLIFT",2303,38.56796664,-121.4852542
"172","1/1/06 15:30","2505 52ND AVE",4,"4B        ",1346,"LOST PROPERTY - I RPT",7000,38.50488174,-121.4804148
"173","1/1/06 15:36","5770 FREEPORT BLVD",4,"4C        ",985,"FOUND PROPERTY - I RPT",7000,38.52199137,-121.4990149
"174","1/1/06 15:40","1751 BELL AVE",2,"2A        ",226,"TOWED/STORED VEHICLE",7000,38.64823548,-121.4261249
"175","1/1/06 16:00","3661 TRUXEL RD",1,"1A        ",337,"484 PC   PETTY THEFT/INSIDE",2308,38.63589608,-121.5055312
"176","1/1/06 16:00","3904 MAY ST",2,"2A        ",504,"MISSING PERSON",7000,38.63869884,-121.4424398
"177","1/1/06 16:00","1650 BAINES AVE",1,"1A        ",136,"459 PC  BURGLARY RESIDENCE",2204,38.66157492,-121.4969793
"178","1/1/06 16:00","6272 MACK RD",5,"5C        ",1623,"487(A) PC GRAND THEFT",2303,38.47415723,-121.4296995
"179","1/1/06 16:00","8389 FOLSOM BLVD",3,"3C        ",1115,"484 PC   PETTY THEFT/INSIDE",2308,38.54818818,-121.3940644
"180","1/1/06 16:25","FOLSOM BLVD / WATT AVE",3,"3C        ",1106,"NON INJ HR/MAIL OUT REPORT",7000,38.5530906,-121.3751255
"181","1/1/06 16:30","1801 BELL AVE",2,"2A        ",226,"TOWED/STORED VEHICLE",7000,38.64770425,-121.4242104
"182","1/1/06 16:51","2314 Q ST",3,"3B        ",767,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.56737967,-121.4786515
"183","1/1/06 16:57","2340 MOSSY BANK DR",1,"1B        ",444,"10851(A)VC TAKE VEH W/O OWNER",2404,38.60972461,-121.4953467
"184","1/1/06 16:57","8101 COSUMNES RIVER BLVD",5,"5C        ",1639,"11364 HS POSS DRUG PARAPH",3599,38.45718227,-121.4133413
"185","1/1/06 16:59","J ST / 17TH ST",3,"3M        ",736,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.5777553,-121.4838823
"186","1/1/06 17:00","8200 CENTER PKWY",5,"5B        ",1633,"10851(A)VC TAKE VEH W/O OWNER",2404,38.45964489,-121.4291448
"187","1/1/06 17:00","6421 SUN RIVER DR",6,"6C        ",1445,"484 PETTY THEFT/LICENSE PLATE",2399,38.50926564,-121.4129728
"188","1/1/06 17:00","3715 IVY ST",2,"2A        ",516,"459 PC  BURGLARY RESIDENCE",2204,38.63535055,-121.4281542
"189","1/1/06 17:00","3157 BRIDGEFORD DR",1,"1C        ",416,"LOST PROPERTY - I RPT",7000,38.62642643,-121.487454
"190","1/1/06 17:30","11TH ST / F ST",3,"3A        ",724,"197 JUSTIFIABLE HOMI-CIVILIAN",999,38.58432423,-121.4902264
"191","1/1/06 17:37","17TH ST / Q ST",3,"3B        ",766,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.57001564,-121.4872296
"192","1/1/06 17:41","FRUITRIDGE RD / 53RD ST",6,"6B        ",1084,"20001(A) VC HIT/RUN INJ/DEATH",5401,38.52496323,-121.4438874
"193","1/1/06 17:41","5301 FRUITRIDGE RD",6,"6B        ",1084,"23153(A) VC DUI CAUSE INJURY",5404,38.52517945,-121.4443121
"194","1/1/06 18:00","2890 GROVE AVE",2,"2B        ",541,"245(A)(1)AWDW/NO FIREARM/CIVIL",1315,38.62009985,-121.4590851
"195","1/1/06 18:00","2828 CONNIE DR",2,"2C        ",567,"MISSING PERSON",7000,38.6176064,-121.4204494
"196","1/1/06 18:00","3700 32ND ST",6,"6A        ",1051,"594(B)(1)PC  VANDALISM +$400",2999,38.54069286,-121.4728119
