"Family","Father","Mother","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","D1","D2","D3","D4","D5","D6","D7","D8","D9","Children","MidParent","Offspring"
"48",71,64,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.66,8
"49",71.5,64.5,12,11,10,NA,NA,NA,NA,NA,NA,NA,6,4.5,4.5,2,NA,NA,NA,NA,NA,7,8.18,7.33714285714286
"50",71,64.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,7.93,7.58
"51",71.2,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,4.5,NA,NA,NA,NA,NA,NA,NA,2,7.22,6.48
"52",71,63.5,11,7,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3.5,NA,NA,NA,NA,NA,NA,5,7.39,6.732
"53",71,63,11,10,10,4,NA,NA,NA,NA,NA,NA,5,5,4,3,3,NA,NA,NA,NA,9,7.12,6.28888888888889
"54",71,63,11,11,10,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,7.12,8.945
"55",71,62,11,10,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.5,1.5,NA,NA,NA,NA,NA,NA,5,6.58,6.036
"56",71,62,12,10.5,10.5,NA,NA,NA,NA,NA,NA,NA,4.5,0,NA,NA,NA,NA,NA,NA,NA,5,6.58,7.572
"57",71,62.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2.5,NA,NA,NA,NA,NA,5,6.85,5.132
"58",71,62,10.5,10,9,9,6,NA,NA,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,7,6.58,7.66857142857143
"59",71,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6.04,2.16
"60",71,58,11.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.42,10.25
"61",70,69,11,10,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,4,9.86,9.93
"62",70,69,10,8.7,NA,NA,NA,NA,NA,NA,NA,NA,8,6,4,2,NA,NA,NA,NA,NA,6,9.86,6.71666666666667
"63",70,68,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.32,15
"64",70,67,10,9,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,NA,NA,NA,NA,NA,NA,5,8.78,5.96
"65",70,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,1,8.78,8.1
"66",70,66.5,13,12,12,6.5,NA,NA,NA,NA,NA,NA,9.2,7.2,6.5,6,6,4.2,3.7,NA,NA,11,8.51,8.15672727272727
"67",70.5,65,12,10.2,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.95,9.925
"68",70.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,1.5,1,1,NA,NA,NA,NA,5,7.95,3.564
"69",70,65,13,12,10.5,5,5,NA,NA,NA,NA,NA,4.5,3,2,NA,NA,NA,NA,NA,NA,8,7.7,6.97
"70",70,65,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.5,2.5,NA,NA,NA,NA,NA,5,7.7,4.452
"71",70,65,10,10,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,3,NA,NA,NA,NA,NA,6,7.7,6.93333333333333
"72",70,65,19,15,11,NA,NA,NA,NA,NA,NA,NA,9,7,5.7,2,NA,NA,NA,NA,NA,7,7.7,10.0851428571429
"73",70,65,13,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,7.7,10.3
"74",70,65,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.7,9
"75",70,64.7,12,10,8.7,NA,NA,NA,NA,NA,NA,NA,6.5,5.5,4.7,4.5,NA,NA,NA,NA,NA,7,7.538,7.65657142857143
"76",70,64,10.7,10,8,NA,7,6,5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,7.16,7.75142857142857
"77",70,64,10,8,6.7,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,4,7.16,7.66
"78",70,64.2,12,10,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.2,0.1,NA,NA,NA,NA,NA,NA,5,7.268,5.2208
"79",70.5,64,14,9.5,9,8,8,8,NA,NA,NA,NA,5.5,5,NA,NA,NA,NA,NA,NA,NA,8,7.41,8.48
"80",70.5,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,7.68,0
"81",70,64,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,NA,NA,NA,NA,NA,NA,4,7.16,4.97
"82",70,64,11,10,10,10,9.5,8.5,NA,NA,NA,NA,9,5,4,NA,NA,NA,NA,NA,NA,9,7.16,8.71555555555556
"83",70,63.7,10,7,5.5,NA,NA,NA,NA,NA,NA,NA,3.7,3.2,2.5,2.2,1,NA,NA,NA,NA,8,6.998,4.5135
"84",70.5,63,10,8.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA,NA,NA,NA,NA,NA,4,6.87,7.055
"85",70.5,63,12.5,9,7,NA,NA,NA,NA,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,5,6.87,7.536
"86",70,63.5,11,7.5,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3.5,NA,NA,NA,NA,NA,NA,NA,4,6.89,7.595
"87",70,63,8,7,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,NA,NA,NA,NA,NA,NA,NA,4,6.62,5.289
"88",70,63,10,6.5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,4,6.62,4.935
"89",70.5,62,12,10,9.5,9.5,8,NA,NA,NA,NA,NA,5,4,3,NA,NA,NA,NA,NA,NA,8,6.33,7.745
"90",70.3,62.7,10.7,9.7,9.2,5.2,NA,NA,NA,NA,NA,NA,4,3.5,3.2,NA,NA,NA,NA,NA,NA,7,6.608,6.62228571428571
"91",70.5,62,12,12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,6.33,8
"92",70,61,11.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.54,9.1
"93",70,60,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,4,5,5.035
"94",70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,2,5,5.4
"95",70,58.5,11.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4.19,6.41333333333333
"96",70,58,12,6,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,NA,NA,NA,NA,NA,NA,5,3.92,6.624
"97",69,68.5,15,11,10,NA,NA,NA,NA,NA,NA,NA,6,6,5.5,5,5,4,4,NA,NA,10,9.09,7.434
"98",69,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,8.28,4.32
"99",69,66,13,12,11.7,11.5,NA,NA,NA,NA,NA,NA,5.5,5,2.7,2.5,NA,NA,NA,NA,NA,8,7.74,8.1445
"100",69,66,11.2,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.74,10.7333333333333
"101",69,66.7,15,14,12,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.118,12.375
"102",69,66,10,8.5,8,NA,NA,NA,NA,NA,NA,NA,5,3,2.5,NA,NA,NA,NA,NA,NA,6,7.74,6.30666666666667
"103",69,66.5,13,11,10.5,10.5,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,8.01,8.44
"104",69.5,66.5,10.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,4,8.26,6.795
"105",69,66.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.5,6,3,3,NA,NA,NA,NA,6,8.01,6.87333333333333
"106",69.5,66,11,11,10.5,10.5,NA,NA,NA,NA,NA,NA,6.5,5.5,4.5,NA,NA,NA,NA,NA,NA,7,7.99,8.68857142857143
"107",69,66,13,12,9,9,NA,NA,NA,NA,NA,NA,6.5,5.5,5.5,5,4,NA,NA,NA,NA,9,7.74,7.95777777777778
"108",69,65,10,8.5,7,NA,NA,NA,NA,NA,NA,NA,5,4,3.5,1,NA,NA,NA,NA,NA,7,7.2,5.72571428571429
"109",69.5,64.5,9.7,8,0,NA,NA,NA,NA,NA,NA,NA,5.2,4.5,3.7,0,NA,NA,NA,NA,NA,7,7.18,4.596
"110",69.2,64,11.7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,NA,NA,NA,NA,NA,NA,NA,4,6.76,6.845
"111",69,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1,6.39,5.94
"112",69,63,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3.5,NA,NA,NA,NA,NA,NA,NA,3,6.12,6.96
"113",69,63,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.12,12
"114",69,63,13,10,10,4,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,6,6.12,7.60666666666667
"115",69,63.5,10.5,7,6,NA,NA,NA,NA,NA,NA,NA,5,3,2,1,NA,NA,NA,NA,NA,7,6.39,5.05428571428571
"116",69,63.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3,NA,NA,NA,NA,NA,NA,NA,3,6.39,5.912
"117",69.7,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,5.93,2.7
"118",69.5,62,13,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.83,11.3333333333333
"119",69,62,13,11,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,5.58,9.448
"120",69.5,62,12,10,7.8,NA,NA,NA,NA,NA,NA,NA,5.2,4.7,4.5,3.5,3.5,2.5,2,1.5,NA,11,5.83,5.39927272727273
"121",69,62.5,11,10,10,9,NA,NA,NA,NA,NA,NA,3.5,2.5,2.5,2,NA,NA,NA,NA,NA,8,5.85,6.4175
"122",69,62,12,8,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,4,5.58,8.24
"123",69.5,61,10,9.5,9,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,5,5.29,6.78
"124",69,61,8,8,7.5,4,3,3,NA,NA,NA,NA,3.5,2,2,NA,NA,NA,NA,NA,NA,9,5.04,4.62222222222222
"125",69,60,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2.5,NA,NA,NA,NA,NA,NA,NA,3,4.5,7.28
"126",69,60,9,6,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.5,NA,NA,NA,NA,NA,NA,NA,4,4.5,4.344
"127",69,60.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.77,9.5
"128",68.7,70.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,2,10.02,6.418
"129",68.5,67,13,11,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,8.03,10.52
"130",68.5,66.5,10,9,9,8.7,8.5,8.5,8,8,8,6.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,11,7.76,7.94145454545455
"131",68,65,7.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.7,6.75
"132",68,65.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,6.97,5.16
"133",68,65.5,11.7,11.5,10.7,5.5,NA,NA,NA,NA,NA,NA,6.5,5.2,1.5,NA,NA,NA,NA,NA,NA,7,6.97,7.66514285714286
"134",68,65,12,12,NA,NA,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,4,6.7,9.78
"135",68.5,65,9.2,8,6,6,NA,NA,NA,NA,NA,NA,2,1.5,1,0,NA,NA,NA,NA,NA,8,6.95,4.2575
"136A",68.5,65,12,10.5,8.7,8.5,7.7,NA,NA,NA,NA,NA,4,3.5,3,NA,NA,NA,NA,NA,NA,8,6.95,7.3425
"136",68,64,11,8,8,7,NA,NA,NA,NA,NA,NA,5,4,3,3,2,1,NA,NA,NA,10,6.16,5.344
"137",68,64,6,3,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2,NA,NA,NA,NA,NA,NA,NA,4,6.16,4.275
"138",68,64,11.2,11.2,9,8.5,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,5,6.16,8.52
"139",68,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6.43,2.16
"140",68,64,9,7,6,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,5,4,3,NA,NA,10,6.16,5.872
"141",68,63,10.5,10,8,6,6,NA,NA,NA,NA,NA,6,2,1.5,NA,NA,NA,NA,NA,NA,8,5.62,6.345
"142",68.5,63.5,13.5,10,9.5,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,4,6.14,9.735
"143",68,63,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.62,7
"144",68,63,10,8,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,4,5.62,6.795
"145",68,63,11,8,6,5.5,5,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,8,5.62,5.3825
"146",68,63,7,7,6,NA,NA,NA,NA,NA,NA,NA,4,3.5,1,NA,NA,NA,NA,NA,NA,6,5.62,4.86333333333333
"147",68.5,63.5,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.14,8.2
"148",68,63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.62,10
"149",68.2,63.5,10,9,7,5.5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,5.99,7.272
"150",68,62.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.35,8.5
"151",68.7,62,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,2,5.43,4.768
"152",68,62.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.35,6.5
"153",68,61,8.5,8,4,NA,NA,NA,NA,NA,NA,NA,3.5,3,NA,NA,NA,NA,NA,NA,NA,5,4.54,5.504
"154",68,60.2,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.108,6.7
"155",68,60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,-4,NA,NA,NA,7,4,0.262857142857143
"156",68,60,7.5,7,6.5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5.25
"157",68.5,59,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.71,9
"158",68,59,8,5,4.7,4,4,3,NA,NA,NA,NA,5,5,2,NA,1,NA,NA,NA,NA,10,3.46,4.274
"159",67,66.2,12.7,12.7,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,3.5,NA,NA,NA,NA,5,6.848,9.324
"160",67,66.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.01,11
"161",67,66,13,11,10.5,10,9,NA,NA,NA,NA,NA,8,5.5,2,NA,NA,NA,NA,NA,NA,8,6.74,8.78
"162",67,65,9.7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5,4.5,3.5,NA,NA,NA,NA,NA,6,6.2,6.19666666666667
"163",67,65.5,10,9,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,3,NA,NA,NA,NA,NA,NA,5,6.47,6.824
"164",67,65.5,10,7.7,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,4,6.47,5.235
"165",67,65,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,3,6.2,3.10666666666667
"166",67.5,65,11,9,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,3,3,3,2.5,2,11,6.45,4.51818181818182
"167",67,64,11.5,10,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.66,8.875
"168",67,63.5,11,10.2,9.2,8.5,8,7,5.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,8,5.39,7.8975
"169",67,63,9,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,5.12,6.74666666666667
"170",67.5,62,10,9.5,9,8.5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,4.83,8.696
"171",67,61,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.04,7
"172",66,67,10.5,10.5,7,6,6,NA,NA,NA,NA,NA,2,2,1.5,NA,NA,NA,NA,NA,NA,8,6.78,5.7425
"173",66,67,12,5,5,NA,NA,NA,NA,NA,NA,NA,7,4,4,2,0,0,NA,NA,NA,9,6.78,4.48444444444444
"174",66,66,6,5,NA,NA,NA,NA,NA,NA,NA,NA,7,6.5,5.5,NA,NA,NA,NA,NA,NA,5,6.24,6.304
"175",66,66,12,8,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,1,NA,NA,NA,NA,NA,6,6.24,5.85333333333333
"176",66.5,65,8.7,8.5,NA,6.5,4.5,NA,NA,NA,NA,NA,2.5,0.5,0.5,-2.5,NA,NA,NA,NA,NA,8,5.95,3.66
"177",66,65.5,12,11,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,5,5.97,8.376
"178",66,63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.62,10
"179",66,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2,NA,NA,NA,NA,NA,NA,NA,2,4.89,3.51
"180",66.5,63,7.2,7,5,NA,NA,NA,NA,NA,NA,NA,5,5,3,NA,NA,NA,NA,NA,NA,6,4.87,5.54
"181",66.5,62.5,10,8,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,7,4.6,4.65428571428571
"182",66,61.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.81,10
"183",66,60,8,7,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5
"184",66,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5
